index	experiment_id	status	returncode	elapsed_seconds	log_path	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth
1	baseline	ok	0	370.5	01_baseline.log	0.986688	300.1	357.0	65103.3	39.44	341.0	1301	71.3	12
2	exp01	ok	0	387.0	02_exp01.log	0.986861	300.1	372.8	70294.3	39.78	315.6	1204	78.6	13
3	exp02	ok	0	369.8	03_exp02.log	0.984515	300.2	355.6	65103.3	37.57	353.9	1350	71.3	12
4	exp03	ok	0	370.1	04_exp03.log	0.987056	300.0	356.5	65103.3	39.41	340.8	1300	71.3	12
5	exp04	ok	0	368.4	05_exp04.log	0.986355	300.2	354.9	65103.3	37.57	353.9	1350	71.3	12
6	exp05	ok	0	350.1	06_exp05.log	0.986112	300.1	335.5	65103.3	39.46	341.3	1302	71.3	12
7	exp06	ok	0	349.3	07_exp06.log	0.985884	300.0	335.3	65103.3	39.44	341.0	1301	71.3	12
8	exp07	failed	1	13.2	08_exp07.log									
9	exp08	ok	0	374.9	09_exp08.log	0.988248	300.0	360.6	65103.3	38.89	336.3	1283	71.3	12
10	exp09	ok	0	349.1	10_exp09.log	0.986500	300.2	335.3	65103.3	39.46	341.3	1302	71.3	12
11	exp10	ok	0	349.9	11_exp10.log	0.987962	300.2	336.2	65103.3	38.87	336.3	1283	71.3	12
12	exp11	ok	0	349.1	12_exp11.log	0.986764	300.1	335.8	65103.3	39.44	341.0	1301	71.3	12
13	exp12	ok	0	376.4	13_exp12.log	0.983771	300.2	362.3	66795.3	39.03	337.6	1288	96.5	12
14	exp13	ok	0	376.0	14_exp13.log	0.984975	300.1	362.4	66795.3	38.37	331.9	1266	96.5	12
15	exp14	ok	0	384.8	15_exp14.log	0.987680	300.1	371.1	74301.7	42.09	270.8	1033	96.0	11
16	exp15	failed	1	58.7	16_exp15.log									
17	exp16	ok	0	369.3	17_exp16.log	0.982672	300.1	355.8	65103.3	36.66	361.2	1378	71.3	12
18	exp17	ok	0	372.5	18_exp17.log	0.985890	300.1	358.8	65103.3	39.40	340.8	1300	71.3	12
19	exp18	ok	0	349.6	19_exp18.log	0.987038	300.2	335.7	65103.3	39.45	341.3	1302	71.3	12
20	exp19	ok	0	375.1	20_exp19.log	0.981569	300.1	361.9	68487.3	38.61	334.0	1274	121.6	12
21	exp20	ok	0	368.7	21_exp20.log	0.989999	300.1	355.1	65103.3	39.59	342.4	1306	71.3	12
